Ref,Label,timestamp,agent.id,agent.ip,agent.name,data.win.system.channel,data.win.system.eventID,data.win.system.processID,data.win.eventdata.threat Name,data.win.eventdata.authenticationPackageName,data.win.eventdata.logonProcessName,data.win.eventdata.ipAddress,data.win.eventdata.destinationIp,data.win.eventdata.destinationPortName,data.win.eventdata.user,data.win.eventdata.parentCommandLine,data.win.eventdata.commandLine,data.win.eventdata.payload,rule.level,rule.id,rule.description,rule.mitre.id,rule.mitre.tactic,rule.mitre.technique
1,Normal,"May 9, 2025 @ 11:13:07.655",0,,wazuhVM,,,,,,,,,,,,,,7,533,Listened ports status (netstat) changed (new port opened or closed).,,,
2,Normal,"May 9, 2025 @ 11:13:07.657",0,,wazuhVM,,,,,,,,,,,,,,3,502,Wazuh server started.,,,
3,Normal,"May 9, 2025 @ 11:13:10.489",0,,wazuhVM,,,,,,,,,,,,,,3,5501,PAM: Login session opened.,[T1078],"[Defense Evasion, Persistence, Privilege Escalation, Initial Access]",[Valid Accounts]
4,Normal,"May 9, 2025 @ 11:13:59.099",15,10.12.25.3,Windows11,Microsoft-Windows-Sysmon/Operational,1,3164,,,,,,,NT AUTHORITY\\SYSTEM,"\""C:\\Program Files (x86)\\ossec-agent\\wazuh-agent.exe\""",net.exe accounts,,3,92031,Discovery activity executed,[T1087],[Discovery],[Account Discovery]
5,Normal,"May 9, 2025 @ 11:13:59.154",15,10.12.25.3,Windows11,,,,,,,,,,,,,,3,503,Wazuh agent started.,,,
6,Normal,"May 9, 2025 @ 11:13:59.789",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,net.exe accounts,,3,67027,A process was created.,,,
7,Normal,"May 9, 2025 @ 11:13:59.833",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -secured -Embedding,,3,67027,A process was created.,,,
8,Normal,"May 9, 2025 @ 11:14:00.845",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"C:\\WINDOWS\\system32\\wevtutil.exe uninstall-manifest \""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25030.2-0\\Microsoft-Antimalware-AMFilter.man\""",,3,67027,A process was created.,,,
9,Normal,"May 9, 2025 @ 11:14:00.887",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,\\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1,,3,67027,A process was created.,,,
10,Normal,"May 9, 2025 @ 11:14:00.920",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,\\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1,,3,67027,A process was created.,,,
11,Normal,"May 9, 2025 @ 11:14:00.987",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"C:\\WINDOWS\\system32\\wevtutil.exe install-manifest \""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25030.2-0\\Microsoft-Antimalware-AMFilter.man\"" \""/resourceFilePath:C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25030.2-0\\Drivers\\WdFilter.sys\"" \""/messageFilePath:C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25030.2-0\\Drivers\\WdFilter.sys\"" \""/parameterFilePath:C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25030.2-0\\Drivers\\WdFilter.sys\""",,3,67027,A process was created.,,,
12,Normal,"May 9, 2025 @ 11:14:01.011",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,\\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1,,3,67027,A process was created.,,,
13,Normal,"May 9, 2025 @ 11:14:02.072",15,10.12.25.3,Windows11,Security,4624,860,,Negotiate,Advapi,,,,,,,,3,60106,Windows Logon Success,[T1078],"[Defense Evasion, Persistence, Privilege Escalation, Initial Access]",[Valid Accounts]
14,Normal,"May 9, 2025 @ 11:14:02.114",15,10.12.25.3,Windows11,Microsoft-Windows-Sysmon/Operational,1,3164,,,,,,,NT AUTHORITY\\SYSTEM,net.exe accounts,C:\\WINDOWS\\system32\\net1 accounts,,3,92031,Discovery activity executed,[T1087],[Discovery],[Account Discovery]
15,Normal,"May 9, 2025 @ 11:14:02.139",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\svchost.exe -k wsappx -p,,3,67027,A process was created.,,,
