Ref,Label,timestamp,agent.id,agent.ip,agent.name,data.win.system.channel,data.win.system.eventID,data.win.system.processID,data.win.eventdata.threat Name,data.win.eventdata.authenticationPackageName,data.win.eventdata.logonProcessName,data.win.eventdata.ipAddress,data.win.eventdata.destinationIp,data.win.eventdata.destinationPortName,data.win.eventdata.user,data.win.eventdata.parentCommandLine,data.win.eventdata.commandLine,data.win.eventdata.payload,rule.level,rule.id,rule.description,rule.mitre.id,rule.mitre.tactic,rule.mitre.technique
1,Normal,"May 1, 2025 @ 11:19:38.518",15,10.12.25.3,Windows11,Security,4624,852,,Negotiate,Advapi,,,,,,,,3,60106,Windows Logon Success,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
2,Normal,"May 1, 2025 @ 11:19:38.574",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\svchost.exe -k wusvcs -p,,3,67027,A process was created.,,,
3,Normal,"May 1, 2025 @ 11:19:39.725",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\Windows\\System32\\Dism\\dismhost.exe {5A2D2D01-72BF-465D-8431-A1190ABF4D36},,3,67027,A process was created.,,,
4,Normal,"May 1, 2025 @ 11:19:39.731",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
5,Normal,"May 1, 2025 @ 11:19:39.731",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\BackgroundTaskHost.exe\"" -ServerName:BackgroundTaskHost.WebAccountProvider",,3,67027,A process was created.,,,
6,Normal,"May 1, 2025 @ 11:19:40.424",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
7,Normal,"May 1, 2025 @ 11:19:41.064",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,,3,67027,A process was created.,,,
8,Normal,"May 1, 2025 @ 11:19:46.947",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,taskhostw.exe,,3,67027,A process was created.,,,
9,Normal,"May 1, 2025 @ 11:19:52.631",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
10,Normal,"May 1, 2025 @ 11:19:52.935",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},,3,67027,A process was created.,,,
11,Normal,"May 1, 2025 @ 11:19:54.718",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,taskhostw.exe -RegisterDevice -ProtectionStateChanged -FreeNetworkOnly,,3,67027,A process was created.,,,
12,Normal,"May 1, 2025 @ 11:19:54.731",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -secured -Embedding,,3,67027,A process was created.,,,
13,Normal,"May 1, 2025 @ 11:19:54.732",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,\\\\?\\C:\\Windows\\System32\\SecurityHealth\\10.0.27777.1008-0\\SecurityHealthHost.exe {08728914-3F57-4D52-9E31-49DAECA5A80A} -Embedding,,3,67027,A process was created.,,,
14,Normal,"May 1, 2025 @ 11:19:54.744",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
15,Normal,"May 1, 2025 @ 11:19:54.754",15,10.12.25.3,Windows11,Security,4624,852,,Negotiate,Advapi,,,,,,,,3,60106,Windows Logon Success,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
