instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,anomaly_score_0.25,Network_Predicted_Label,Network_Ground_Truth,Network_Label_3Class,Process_Predicted_Label,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Process_Ground_Truth,Label_Description,process_score,Process_Label_3Class,final_fused_label,decision_reason,true_binary,process_binary,network_binary,fused_binary
1,0,0.0,584,0.234255917,2493,0.11539566,0,0,Network - Normal,0,0.9998999999999999,0.0,0.0,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0,Process - Normal,0,confident_normal,0,0,0,0
2,0,0.0,514,0.23342416,2202,-0.076032672,1,0,Network - Anomaly,0,0.9998999999999999,0.0,0.0001,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0001,Process - Normal,0,confident_normal,0,0,1,0
3,0,0.0,583,0.234230615,2489,0.146823419,0,0,Network - Normal,0,0.9998,0.0,0.0001,0.0,0.0001,0,Label 0: Normal_NoIntervention,0.0001,Process - Normal,0,confident_normal,0,0,0,0
4,0,0.0,572,0.234234234,2442,0.148886831,0,0,Network - Normal,2,0.0060999999999999995,0.0003,0.9923000000000001,0.0002,0.0011,0,Label 0: Normal_NoIntervention,0.9923000000000001,Process - Anomaly,2,confident_threat,0,1,0,1
5,0,0.0,540,0.234070221,2307,0.152310627,0,0,Network - Normal,0,1.0,0.0,0.0,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0,Process - Normal,0,confident_normal,0,0,0,0
6,0,0.0,590,0.234406039,2517,-0.007074589,1,0,Network - Marginal,0,1.0,0.0,0.0,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0,Process - Normal,0,confident_normal,0,0,1,0
7,0,0.0,569,0.233867653,2433,0.021223767,0,0,Network - Marginal,0,0.9998999999999999,0.0,0.0001,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0001,Process - Normal,0,confident_normal,0,0,0,0
8,0,0.0,584,0.234068136,2495,0.154343686,0,0,Network - Normal,0,1.0,0.0,0.0,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0,Process - Normal,0,confident_normal,0,0,0,0
9,0,0.0,576,0.230123851,2503,-0.282645028,1,0,Network - Anomaly,0,0.9995999999999999,0.0,0.0002,0.0,0.0001,0,Label 0: Normal_NoIntervention,0.0002,Process - Normal,0,confident_normal,0,0,1,0
10,0,0.0,576,0.234051199,2461,0.128182967,0,0,Network - Normal,0,1.0,0.0,0.0,0.0,0.0,0,Label 0: Normal_NoIntervention,0.0,Process - Normal,0,confident_normal,0,0,0,0
