instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.05,anomaly_0.05,anomaly_score_0.1,anomaly_0.1,anomaly_score_0.15,anomaly_0.15,anomaly_score_0.2,anomaly_0.2,anomaly_score_0.25,anomaly_0.25,anomaly_score_0.3,anomaly_0.3,anomaly_score_0.35,anomaly_0.35,label,dominant_node
1,0,0.0,5840,0.7536456316944122,7749,,0.1250408423847697,1,0.07961601229108656,1,0.05281617917763454,1,0.03133777377281993,1,0.021045675201562586,1,0.019702622097150957,1,0.01628318290236147,1,0,
2,0,0.0,5140,0.7527826596367897,6828,,0.055519236781168324,1,0.01009440668748518,1,-0.01670542642596684,-1,-0.038183831830781445,-1,-0.04847593040203879,-1,-0.04981898350645042,-1,-0.05323842270123991,-1,0,
3,0,0.0,5830,0.7536194415718718,7736,,0.12529006606472076,1,0.07986523597103762,1,0.0530654028575856,1,0.03158699745277099,1,0.021294898881513646,1,0.019951845777102017,1,0.01653240658231253,1,0,
4,0,0.0,5720,0.7536231884057971,7590,,0.12696901260225457,1,0.08154418250857143,1,0.05474434939511941,1,0.0332659439903048,1,0.022973845419047456,1,0.021630792314635827,1,0.01821135311984634,1,0,
5,0,0.0,5400,0.7534533277521975,7167,,0.12558915142794996,1,0.08016432133426682,1,0.0533644882208148,1,0.031886082816000194,1,0.021593984244742848,1,0.02025093114033122,1,0.016831491945541732,1,0,
6,0,0.0,5900,0.7538009454452536,7827,,0.10623358902389318,1,0.06080875893021004,1,0.03400892581675802,1,0.012530520411943413,1,0.0022384218406860668,1,0.0008953687362744378,1,-0.0025240704585150486,-1,0,
7,0,0.0,5690,0.7532433148001059,7554,,0.10324902656964513,1,0.057824196475961986,1,0.031024363362509966,1,0.009545957957695361,1,-0.0007461406135619852,-1,-0.002089193717973614,-1,-0.005508632912763101,-1,0,
8,0,0.0,5840,0.7534511675912785,7751,,0.12558915142794996,1,0.08016432133426682,1,0.0533644882208148,1,0.031886082816000194,1,0.021593984244742848,1,0.02025093114033122,1,0.016831491945541732,1,0,
9,0,0.0,5760,0.7493170287498374,7687,,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,0,
10,0,0.0,5760,0.7534336167429693,7645,,0.12306072541399354,1,0.0776358953203104,1,0.05083606220685838,1,0.029357656802043774,1,0.019065558230786428,1,0.0177225051263748,1,0.014303065931585313,1,0,
11,0,0.0,5130,0.7667015393812584,6691,,0.10623358902389318,1,0.06080875893021004,1,0.03400892581675802,1,0.012530520411943413,1,0.0022384218406860668,1,0.0008953687362744378,1,-0.0025240704585150486,-1,1,
12,0,0.0,5850,0.752411575562701,7775,,0.04664583090547747,1,0.001221000811794326,1,-0.025578832301657695,-1,-0.0470572377064723,-1,-0.057349336277729646,-1,-0.058692389382141275,-1,-0.06211182857693076,-1,1,
13,18,0.0025806451612903226,5228,0.7495340501792115,6975,2.0,-0.03502010082160967,-1,-0.08044493091529281,-1,-0.10724476402874483,-1,-0.12872316943355944,-1,-0.13901526800481678,-1,-0.1403583211092284,-1,-0.1437777603040179,-1,1,"""MCDData"".""Conveyor2_Speed"""
