timestamp,instance,node_ids_written,source_ports,message_sizes,explanation,anomaly_score,timestamp_bst
2025-05-09 13:38:00,4,-,"53373, 53218","253, 100, 204, 189, 1584",Unusual OPC UA write pattern detected,-0.08774358403861027,2025-05-09 14:38:00+01:00
2025-05-09 13:39:00,5,-,"53373, 53218","253, 100, 204, 189, 255",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 14:39:00+01:00
2025-05-09 13:40:00,6,-,"53373, 53218","253, 100, 204, 189, 1558",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 14:40:00+01:00
2025-05-09 13:55:00,21,-,"53373, 53218","253, 100, 204, 189, 1584",Unusual OPC UA write pattern detected,-0.0840022809974812,2025-05-09 14:55:00+01:00
2025-05-09 13:56:00,22,-,"53373, 53218","253, 100, 204, 189, 1558",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 14:56:00+01:00
2025-05-09 13:57:00,23,-,"53373, 53218","253, 100, 204, 189, 1558",Unusual OPC UA write pattern detected,-0.008339222464265994,2025-05-09 14:57:00+01:00
2025-05-09 14:04:00,30,-,"53373, 53218","253, 100, 204, 189, 96",Unusual OPC UA write pattern detected,-0.0004194354268537426,2025-05-09 15:04:00+01:00
2025-05-09 14:05:00,31,-,"53373, 53218","96, 74, 1582, 66, 414",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 15:05:00+01:00
2025-05-09 14:10:00,36,-,"53373, 53218","253, 100, 204, 189, 1682",Unusual OPC UA write pattern detected,-0.0004194354268537426,2025-05-09 15:10:00+01:00
2025-05-09 14:12:00,38,-,"53373, 53218","253, 100, 204, 189, 1584",Unusual OPC UA write pattern detected,-0.11737401232977551,2025-05-09 15:12:00+01:00
2025-05-09 14:13:00,39,-,"53218, 53373","136, 74, 253, 100, 204",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 15:13:00+01:00
2025-05-09 14:28:00,54,-,"53373, 53218","253, 100, 204, 189, 1584",Unusual OPC UA write pattern detected,-0.017986889401502837,2025-05-09 15:28:00+01:00
2025-05-09 14:29:00,55,-,"53373, 53218","253, 100, 1558, 204, 74",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 15:29:00+01:00
2025-05-09 14:30:00,56,-,"53373, 53218","253, 100, 204, 189, 160",Unusual OPC UA write pattern detected,-0.017986889401502837,2025-05-09 15:30:00+01:00
2025-05-09 14:32:00,58,-,"53373, 53218","253, 100, 204, 189, 1679",Unusual OPC UA write pattern detected,-0.0004194354268537426,2025-05-09 15:32:00+01:00
2025-05-09 14:36:00,62,-,"53373, 53218","253, 100, 204, 189, 1608",Unusual OPC UA write pattern detected,-0.003764612828366487,2025-05-09 15:36:00+01:00
2025-05-09 14:43:00,69,-,"53373, 53218","253, 100, 204, 189, 96",Unusual OPC UA write pattern detected,-0.003764612828366487,2025-05-09 15:43:00+01:00
2025-05-09 14:46:00,72,-,"53373, 53218","253, 100, 204, 189, 1711",Unusual OPC UA write pattern detected,-0.12872316943355944,2025-05-09 15:46:00+01:00
2025-05-09 14:47:00,73,-,"53373, 53218","253, 100, 204, 189, 159",Unusual OPC UA write pattern detected,-0.09257903746527474,2025-05-09 15:47:00+01:00
2025-05-09 14:49:00,75,-,"53373, 53218","253, 100, 204, 189, 1608",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 15:49:00+01:00
