instance_x,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,Network_Anomaly_Score,Network_Predicted_Label,timestamp,node_ids_written,source_ports,message_sizes,explanation,anomaly_score,timestamp_bst,network_alarm_flag,Network_Label_3Class,GroundTruth_NetworkLabel,Predicted_NetworkLabel,instance_y,Minute,Process_Predicted_Label,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Label_Description,alarm_count,high_priority_count,sources,float_mean,float_max,float_min,process_score,Process_Label_3Class,GroundTruth_ProcessLabel,Predicted_ProcessLabel,final_fused_label,decision_reason,final_binary_label
1,0,0.0,5940,0.7543815087630176,7874,,0.0125305204119434,0,,,,,,,2025-05-09 14:35:00+01:00,0,Network - Normal,0,0,,,,,,,,,,,,,,,,,,,,0.0,Case 1 (Only Network Data Available): Likely Normal,0
2,0,0.0,5780,0.753978606835377,7666,,0.0125305204119434,0,,,,,,,2025-05-09 14:36:00+01:00,0,Network - Normal,0,0,,,,,,,,,,,,,,,,,,,,0.0,Case 1 (Only Network Data Available): Likely Normal,0
3,0,0.0,5950,0.7544059845315075,7887,,0.0125305204119434,0,,,,,,,2025-05-09 14:37:00+01:00,0,Network - Normal,0,0,,,,,,,,,,,,,,,,,,,,0.0,Case 1 (Only Network Data Available): Likely Normal,0
4,0,0.0,5960,0.751008064516129,7936,,-0.0877435840386102,1,2025-05-09 13:38:00,-,"53373, 53218","253, 100, 204, 189, 1584",Unusual OPC UA write pattern detected,-0.0877435840386102,2025-05-09 14:38:00+01:00,0,Network - Anomaly,0,1,,,,,,,,,,,,,,,,,,,,0.0,Case 1 (Only Network Data Available): Likely Anomaly,1
5,0,0.0,5960,0.743142144638404,8020,,-0.139127898705633,1,2025-05-09 13:39:00,-,"53373, 53218","253, 100, 204, 189, 255",Unusual OPC UA write pattern detected,-0.139127898705633,2025-05-09 14:39:00+01:00,0,Network - Anomaly,0,1,0.0,2025-05-09 14:39:00+01:00,0.0,1.0,0.0,0.0,0.0,0.0,Label 0: Normal_NoIntervention,0.0,0.0,,,,,0.0,Process - Normal,0.0,0.0,0.0,Case 3 (Predictions Conflicts): Normal - Process Predictions Override,0
6,0,0.0,5960,0.7493085240130751,7954,,-0.139127898705633,1,2025-05-09 13:40:00,-,"53373, 53218","253, 100, 204, 189, 1558",Unusual OPC UA write pattern detected,-0.139127898705633,2025-05-09 14:40:00+01:00,0,Network - Anomaly,0,1,1.0,2025-05-09 14:40:00+01:00,0.0,1.0,0.0,0.0,0.0,0.0,Label 0: Normal_NoIntervention,0.0,0.0,,,,,0.0,Process - Normal,0.0,0.0,0.0,Case 3 (Predictions Conflicts): Normal - Process Predictions Override,0
7,0,0.0,5970,0.7544546948060155,7913,,0.0125305204119434,0,,,,,,,2025-05-09 14:41:00+01:00,0,Network - Normal,0,0,2.0,2025-05-09 14:41:00+01:00,0.0,0.9993000000000001,0.0,0.0006,0.0,0.0,Label 0: Normal_NoIntervention,0.0,0.0,,,,,0.0006,Process - Normal,0.0,0.0,0.0,Case 3 (Predictions Aligned): Normal - No Conflicting Result,0
8,0,0.0,5970,0.7544546948060155,7913,,0.0125305204119434,0,,,,,,,2025-05-09 14:42:00+01:00,0,Network - Normal,0,0,3.0,2025-05-09 14:42:00+01:00,0.0,1.0,0.0,0.0,0.0,0.0,Label 0: Normal_NoIntervention,0.0,0.0,,,,,0.0,Process - Normal,0.0,0.0,0.0,Case 3 (Predictions Aligned): Normal - No Conflicting Result,0
9,0,0.0,5970,0.7542640555906507,7915,,0.0125305204119434,0,,,,,,,2025-05-09 14:43:00+01:00,0,Network - Normal,0,0,4.0,2025-05-09 14:43:00+01:00,0.0,0.9998,0.0,0.0001,0.0,0.0,Label 0: Normal_NoIntervention,0.0,0.0,,,,,0.0001,Process - Normal,0.0,0.0,0.0,Case 3 (Predictions Aligned): Normal - No Conflicting Result,0
10,0,0.0,5970,0.7544546948060155,7913,,0.0125305204119434,0,,,,,,,2025-05-09 14:44:00+01:00,0,Network - Normal,0,0,5.0,2025-05-09 14:44:00+01:00,0.0,1.0,0.0,0.0,0.0,0.0,Label 0: Normal_NoIntervention,0.0,0.0,,,,,0.0,Process - Normal,0.0,0.0,0.0,Case 3 (Predictions Aligned): Normal - No Conflicting Result,0
