instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,anomaly_score_0.25,anomaly_0.25,label
1,0,0,584,0.234255917,2493,0.11539566,1,0
2,0,0,514,0.23342416,2202,-0.076032672,-1,0
3,0,0,583,0.234230615,2489,0.146823419,1,0
4,0,0,572,0.234234234,2442,0.148886831,1,0
5,0,0,540,0.234070221,2307,0.152310627,1,0
6,0,0,590,0.234406039,2517,-0.007074589,-1,0
7,0,0,569,0.233867653,2433,0.021223767,1,0
8,0,0,584,0.234068136,2495,0.154343686,1,0
9,0,0,576,0.230123851,2503,-0.282645028,-1,0
10,0,0,576,0.234051199,2461,0.128182967,1,0
11,0,0,513,0.24734812,2074,-0.007074589,-1,1
12,0,0,585,0.233067729,2510,-0.099624718,-1,1
13,13,0.005699255,534,0.234107847,2281,0.151544461,1,1
14,10,0.004076641,574,0.233999185,2453,0.095726022,1,1
15,2,0.000800961,571,0.228674409,2497,-0.282645028,-1,1
16,4,0.001656315,553,0.228985507,2415,-0.282645028,-1,1
17,3,0.001218027,564,0.228989038,2463,-0.282645028,-1,1
18,21,0.010144928,481,0.23236715,2070,-0.141038651,-1,1
19,0,0,486,0.231980907,2095,-0.165935221,-1,1
20,3,0.001205303,569,0.228605866,2489,-0.282645028,-1,1
21,10,0.003889537,605,0.235316997,2571,-0.007074589,-1,1
22,3,0.001229005,571,0.233920524,2441,0.0564916,1,1
23,4,0.001628002,575,0.234025234,2457,0.11735911,1,1
24,3,0.001358696,490,0.22192029,2208,-0.282645028,-1,1
25,2,0.001416431,304,0.21529745,1412,-0.282645028,-1,1
26,2,0.000798403,573,0.228742515,2505,-0.282645028,-1,1
27,2,0.000789889,569,0.224723539,2532,-0.282645028,-1,1
28,3,0.00118624,594,0.234875445,2529,-0.007074589,-1,1
29,2,0.000813339,576,0.234241562,2459,0.140438742,1,1
30,4,0.001671542,546,0.228165483,2393,-0.282645028,-1,1
31,3,0.001663894,412,0.228508042,1803,-0.282645028,-1,1
32,6,0.002623524,538,0.235242676,2287,-0.007074589,-1,1
33,10,0.00390625,602,0.23515625,2560,-0.007074589,-1,1
34,13,0.00526529,576,0.233292831,2469,-0.092790404,-1,1
35,6,0.00229709,601,0.230091884,2612,-0.282645028,-1,1
36,2,0.00079968,570,0.227908836,2501,-0.282645028,-1,1
37,3,0.001413095,479,0.225624117,2123,-0.282645028,-1,1
38,11,0.004818222,533,0.233464739,2283,-0.074931928,-1,1
39,15,0.006195787,571,0.235852953,2421,-0.007074589,-1,1
40,3,0.001191422,564,0.223987292,2518,-0.282645028,-1,1
41,6,0.002389486,577,0.229788929,2511,-0.282645028,-1,1
42,1,0.00045045,506,0.227927928,2220,-0.282645028,-1,1
43,6,0.002305919,601,0.230976172,2602,-0.233749612,-1,1
44,3,0.001188119,580,0.22970297,2525,-0.282645028,-1,1
45,3,0.001344688,509,0.228148812,2231,-0.282645028,-1,1
46,4,0.00155642,580,0.225680934,2570,-0.282645028,-1,1
47,1,0.000413052,553,0.228418009,2421,-0.282645028,-1,1
48,2,0.000782167,589,0.230348064,2557,-0.262138708,-1,1
49,1,0.00042735,518,0.221367521,2340,-0.282645028,-1,1
50,1,0.000398565,576,0.229573535,2509,-0.282645028,-1,1
51,7,0.002851324,575,0.234215886,2455,0.146823419,1,1
52,11,0.004513746,571,0.234304473,2437,0.075144276,1,1
53,24,0.009856263,570,0.234086242,2435,0.152888929,1,1
54,23,0.008959875,584,0.227502922,2567,-0.282645028,-1,1
55,1,0.000542594,410,0.222463375,1843,-0.282645028,-1,1
56,3,0.001175088,580,0.227183705,2553,-0.282645028,-1,1
57,5,0.001944769,585,0.227537923,2571,-0.282645028,-1,1
58,5,0.00209468,557,0.233347298,2387,-0.083795129,-1,1
59,15,0.006150062,571,0.234112341,2439,0.151403203,1,1
60,0,0,596,0.230471771,2586,-0.256376596,-1,1
