minute,status,instance
2025-05-09 14:38:00,missing,
2025-05-09 14:39:00,predicted,1
2025-05-09 14:40:00,predicted,2
2025-05-09 14:41:00,predicted,3
2025-05-09 14:42:00,predicted,4
2025-05-09 14:43:00,predicted,5
2025-05-09 14:44:00,predicted,6
2025-05-09 14:45:00,predicted,7
2025-05-09 14:46:00,predicted,8
2025-05-09 14:47:00,predicted,9
2025-05-09 14:48:00,predicted,10
2025-05-09 14:49:00,predicted,11
2025-05-09 14:50:00,predicted,12
2025-05-09 14:51:00,predicted,13
2025-05-09 14:52:00,predicted,14
2025-05-09 14:53:00,predicted,15
2025-05-09 14:54:00,predicted,16
2025-05-09 14:55:00,predicted,17
2025-05-09 14:56:00,predicted,18
2025-05-09 14:57:00,predicted,19
2025-05-09 14:58:00,predicted,20
2025-05-09 14:59:00,predicted,21
2025-05-09 15:00:00,predicted,22
2025-05-09 15:01:00,predicted,23
2025-05-09 15:02:00,predicted,24
2025-05-09 15:03:00,predicted,25
2025-05-09 15:04:00,missing,
2025-05-09 15:05:00,missing,
2025-05-09 15:06:00,missing,
2025-05-09 15:07:00,missing,
2025-05-09 15:08:00,missing,
2025-05-09 15:09:00,missing,
2025-05-09 15:10:00,missing,
2025-05-09 15:11:00,missing,
2025-05-09 15:12:00,missing,
2025-05-09 15:13:00,missing,
2025-05-09 15:14:00,missing,
2025-05-09 15:15:00,missing,
2025-05-09 15:16:00,missing,
2025-05-09 15:17:00,missing,
2025-05-09 15:18:00,missing,
2025-05-09 15:19:00,predicted,26
2025-05-09 15:20:00,predicted,27
2025-05-09 15:21:00,predicted,28
2025-05-09 15:22:00,predicted,29
2025-05-09 15:23:00,predicted,30
2025-05-09 15:24:00,predicted,31
2025-05-09 15:25:00,predicted,32
2025-05-09 15:26:00,predicted,33
2025-05-09 15:27:00,predicted,34
2025-05-09 15:28:00,predicted,35
2025-05-09 15:29:00,predicted,36
2025-05-09 15:30:00,predicted,37
2025-05-09 15:31:00,predicted,38
2025-05-09 15:32:00,predicted,39
2025-05-09 15:33:00,predicted,40
2025-05-09 15:34:00,predicted,41
2025-05-09 15:35:00,predicted,42
2025-05-09 15:36:00,predicted,43
2025-05-09 15:37:00,predicted,44
2025-05-09 15:38:00,predicted,45
2025-05-09 15:39:00,predicted,46
2025-05-09 15:40:00,predicted,47
2025-05-09 15:41:00,predicted,48
2025-05-09 15:42:00,predicted,49
2025-05-09 15:43:00,predicted,50
2025-05-09 15:44:00,predicted,51
2025-05-09 15:45:00,predicted,52
2025-05-09 15:46:00,predicted,53
2025-05-09 15:47:00,predicted,54
2025-05-09 15:48:00,predicted,55
2025-05-09 15:49:00,missing,
2025-05-09 15:50:00,missing,
2025-05-09 15:51:00,missing,
2025-05-09 15:52:00,missing,
2025-05-09 15:53:00,missing,
2025-05-09 15:54:00,missing,
2025-05-09 15:55:00,missing,
2025-05-09 15:56:00,missing,
2025-05-09 15:57:00,predicted,56
2025-05-09 15:58:00,predicted,57
2025-05-09 15:59:00,predicted,58
2025-05-09 16:00:00,predicted,59
2025-05-09 16:01:00,predicted,60
2025-05-09 16:02:00,predicted,61
2025-05-09 16:03:00,predicted,62
2025-05-09 16:04:00,predicted,63
2025-05-09 16:05:00,predicted,64
2025-05-09 16:06:00,predicted,65
2025-05-09 16:07:00,predicted,66
2025-05-09 16:08:00,predicted,67
2025-05-09 16:09:00,predicted,68
2025-05-09 16:10:00,missing,
2025-05-09 16:11:00,missing,
2025-05-09 16:12:00,missing,
2025-05-09 16:13:00,missing,
2025-05-09 16:14:00,missing,
2025-05-09 16:15:00,missing,
2025-05-09 16:16:00,missing,
2025-05-09 16:17:00,missing,
2025-05-09 16:18:00,missing,
2025-05-09 16:19:00,missing,
2025-05-09 16:20:00,missing,
2025-05-09 16:21:00,missing,
2025-05-09 16:22:00,missing,
2025-05-09 16:23:00,predicted,69
2025-05-09 16:24:00,predicted,70
2025-05-09 16:25:00,predicted,71
2025-05-09 16:26:00,predicted,72
2025-05-09 16:27:00,predicted,73
2025-05-09 16:28:00,predicted,74
2025-05-09 16:29:00,predicted,75
2025-05-09 16:30:00,predicted,76
2025-05-09 16:31:00,predicted,77
2025-05-09 16:32:00,predicted,78
2025-05-09 16:33:00,predicted,79
2025-05-09 16:34:00,predicted,80
2025-05-09 16:35:00,predicted,81
2025-05-09 16:36:00,predicted,82
2025-05-09 16:37:00,predicted,83
2025-05-09 16:38:00,predicted,84
2025-05-09 16:39:00,predicted,85
2025-05-09 16:40:00,predicted,86
2025-05-09 16:41:00,predicted,87
2025-05-09 16:42:00,predicted,88
2025-05-09 16:43:00,missing,
2025-05-09 16:44:00,missing,
2025-05-09 16:45:00,missing,
2025-05-09 16:46:00,missing,
2025-05-09 16:47:00,missing,
2025-05-09 16:48:00,missing,
2025-05-09 16:49:00,missing,
2025-05-09 16:50:00,missing,
2025-05-09 16:51:00,missing,
2025-05-09 16:52:00,predicted,89
2025-05-09 16:53:00,predicted,90
2025-05-09 16:54:00,predicted,91
2025-05-09 16:55:00,predicted,92
2025-05-09 16:56:00,predicted,93
2025-05-09 16:57:00,predicted,94
2025-05-09 16:58:00,predicted,95
2025-05-09 16:59:00,predicted,96
2025-05-09 17:00:00,predicted,97
2025-05-09 17:01:00,predicted,98
2025-05-09 17:02:00,missing,
